Wat zijn de verplichtingen van een verhuurder omtrent onderhoud en herstellingen?|De verhuurder is verplicht om het goed in een zodanige staat te houden dat het kan dienen voor het afgesproken gebruik. Grote herstellingen zijn in principe ten laste van de verhuurder.
Hoe kan ik correct de huurprijs indexeren?|De regels rond de indexatie van een huurcontract verschillen naargelang het huurstelsel (woninghuur - handelshuur - gemene huur - pacht) en de regio. Voor een woninghuurcontract in Vlaanderen geldt (voor contracten afgesloten sinds 01/01/2019) dat de indexatie gebeurt aan de hand van de volgende formule: (basishuurprijs x nieuwe indexcijfer)/aanvangsindexcijfer. De basishuurprijs is de huurprijs die volgt uit de overeenkomst of uit een vonnis, met uitsluiting van alle kosten en lasten, uitdrukkelijk door de huurovereenkomst ten laste van de huurder gelegd. Het nieuwe indexcijfer is het gezondheidsindexcijfer van de maand voorafgaand aan die van de verjaardag van de  inwerkingtreding van de huurovereenkomst. Het aanvangsindexcijfer is het gezondheidsindexcijfer van de maand die voorafgaat aan de maand tijdens welke de huurovereenkomst of de huurprijsherziening is in werking getreden."
Wat is een juiste procedure voor de verkoop van een pand met betrekking tot de opmaak van elektrische keuring -en EPC-attesten?|Bij de verkoop van een pand is het (behoudens uitzonderlijke situaties) verplicht om een EPC-attest te hebben. Dit certificaat informeert potentiële kopers over de energiezuinigheid van de woning. Het EPC wordt opgemaakt door een erkende energiedeskundige type A. Het is aan te raden om een kopie van het EPC aan de onderhandse verkoopovereenkomst te hechten en het origineel te overhandigen bij het verlijden van de authentieke verkoopakte. Het EPC moet beschikbaar zijn vanaf het moment dat de wooneenheid te koop wordt aangeboden. Naast het EPC moet er bij de verkoop van een woning tevens een (nog geldige) elektrische keuring voorhanden zijn.
Hoe regel ik correct de borgstelling in een huurcontract?|De regels voor een borgstelling verschillen naargelang het huurregime waar de verhuring onder valt. Bij woninghuur in het Vlaams gewest is een borgstelling bijvoorbeeld een waarborgvorm die niet gecombineerd mag worden met een andere waarborg. Daarom wordt een borgstelling bij woninghuur actief afgeraden. Bij gemene huur, handelshuur, ... kan het wel. Belangrijk daar is om rekening te houden met de regels betreffende de kosteloze borgtocht.
Wat zijn de wettelijke vereisten voor het indexeren van huurprijzen?|Een schriftelijke huurovereenkomst mag slechts één maal per huurjaar geïndexeerd worden, ten vroegste op de verjaardag van de inwerkingtreding van de huurovereenkomst. De indexering gebeurt op basis van de schommelingen van de gezondheidsindex. Het verzoek tot indexering moet schriftelijk worden ingediend door de belanghebbende partij, meestal de verhuurder. De aangepaste huurprijs mag niet hoger zijn dan het bedrag dat wordt verkregen door de formule basishuurprijs x nieuw indexcijfer/aanvangsindexcijfer toe te passen. De huurindexatie mag maximaal drie maanden terug gaan in de tijd en mag de verjaardatum van het huurcontract niet overschrijden, als er vorig huurjaar ook reeds werd geïndexeerd."
Welke documenten heb ik nodig om een vastgoedtransactie te voltooien?|Bij elke vastgoedtransactie is het cruciaal dat er een goed gedocumenteerd en volledig verkoopdossier wordt samengesteld. Dit bevat tal van verplichte documenten, zoals het EPC, de elektrische keuring, de stedenbouwkundige informatie, informatie betreffende overstromingsgevoeligheid, het asbestattest, het bodemattest, ... Alnaargelang de aard van het onroerend goed en de ligging (verschillen tussen de gewesten) varieert de lijst van wettelijk verplichte documenten. Daarnaast zijn er ook documenten waarvan het niet verplicht maar wel aangewezen is om ze in het verkoopdossier op te nemen (kadastraal uittreksel, de eigendomstitel, ...)."
Kan een syndicus de kosten voor gemene delen zonder bewijs doorrekenen aan mede-eigenaars?|Nee, elke kost moet aantoonbaar en gerechtvaardigd zijn. De syndicus moet transparantie bieden in de boekhouding."
Hoe moet een vastgoedmakelaar omgaan met dubbele mandaten als eigenaar en makelaar?|Ethiek vereist dat de makelaar transparant is over zijn belangen in het eigendom. Geheimhouding van deze informatie kan als deontologisch incorrect worden beschouwd."
Hoe wordt een algemene vergadering van mede-eigenaars wettelijk georganiseerd?|De syndicus organiseert jaarlijks de statutaire algemene vergadering en bijkomend een bijzondere AV als er dringend beslissingen genomen moeten worden in in het belang van de mede-eigendom.  De bijeenroeping moet ten minste vijftien dagen voor de vergadering worden verzonden. De vergadering is rechtsgeldig wanneer meer dan de helft van de mede-eigenaars aanwezig of vertegenwoordigd is en zij ten minste de helft van de aandelen in de gemeenschappelijke delen bezitten."
Mag een verhuurder de huurprijs verschillen tussen huurders zonder rechten te schenden?|De verhuurder kan vrij kiezen aan welke huurprijs een huurwoning op de huurmarkt wordt aangeboden. Onthou wel dat je verplicht bent om de huurprijs en de kosten & lasten te publiceren. Dat is een aanbod tot onderhandelen, geen bindend prijsaanbod. Maar, doorgaans wordt er niet meer afgeweken van de gepubliceerde prijs. Wat zeker niet kan, is om de huurwoning aan een andere prijs aan te bieden aan één geïnteresseerde tegenover een andere. Dit feit op zich is immers voldoende om een vermoeden van discriminatie te vestigen, van zodra er ook sprake is van een onderscheid tussen de kandidaten op één van de verboden criteria."
